playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,SLG
giambja01,1995,1,OAK,AL,54,176,27,45,7,0,6,25,2,1,28,31,0,3,1,2,4,0.255681818,0.397727273
jeterde01,1995,1,NYA,AL,15,48,5,12,4,1,0,7,0,0,3,11,0,0,0,0,0,0.25,0.375
jeterde01,1996,1,NYA,AL,157,582,104,183,25,6,10,78,14,7,48,102,1,9,6,9,13,0.31443299,0.429553265
giambja01,1996,1,OAK,AL,140,536,84,156,40,1,20,79,0,1,51,95,3,5,1,5,15,0.291044776,0.481343284
wrighja01,1996,1,COL,NL,16,26,3,2,2,0,0,0,0,0,2,13,0,0,5,0,0,0.076923077,0.153846154
abreubo01,1996,1,HOU,NL,15,22,1,5,1,0,0,1,0,0,2,3,0,0,0,0,1,0.227272727,0.272727273
ibanera01,1996,1,SEA,AL,4,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
jeterde01,1997,1,NYA,AL,159,654,116,190,31,7,10,70,23,12,74,125,0,10,8,2,14,0.290519878,0.405198777
giambja01,1997,1,OAK,AL,142,519,66,152,41,2,20,81,0,1,55,89,3,6,0,8,11,0.292870906,0.495183044
abreubo01,1997,1,HOU,NL,59,188,22,47,10,2,3,26,7,2,21,48,0,1,0,0,0,0.25,0.372340426
ortizda01,1997,1,MIN,AL,15,49,10,16,3,0,1,6,0,0,2,19,0,0,0,0,1,0.326530612,0.448979592
wrighja01,1997,1,COL,NL,26,48,4,6,1,0,0,3,0,0,3,22,0,0,3,0,1,0.125,0.145833333
ibanera01,1997,1,SEA,AL,11,26,3,4,0,1,1,4,0,0,0,6,0,0,0,0,0,0.153846154,0.346153846
konerpa01,1997,1,LAN,NL,6,7,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0.142857143,0.142857143
jeterde01,1998,1,NYA,AL,149,626,127,203,25,8,19,84,30,6,57,119,1,5,3,3,13,0.32428115,0.480830671
giambja01,1998,1,OAK,AL,153,562,92,166,28,0,27,110,2,2,81,102,7,5,0,9,16,0.295373665,0.489323843
abreubo01,1998,1,PHI,NL,151,497,68,155,29,6,17,74,19,10,84,133,14,0,4,4,6,0.311871227,0.496981891
ortizda01,1998,1,MIN,AL,86,278,47,77,20,0,9,46,1,0,39,72,3,5,0,4,8,0.276978417,0.446043165
ramirar01,1998,1,PIT,NL,72,251,23,59,9,1,6,24,0,1,18,72,0,4,1,1,3,0.235059761,0.35059761
beltrad01,1998,1,LAN,NL,77,195,18,42,9,0,7,22,3,1,14,37,0,3,2,0,4,0.215384615,0.369230769
konerpa01,1998,1,LAN,NL,49,144,14,31,1,0,4,16,0,1,10,30,0,2,0,2,5,0.215277778,0.305555556
